index,rank_2027,rank_2026,institution_name,country_territory,region,size,focus,research_intensity,status,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,international_research_network_score,international_research_network_rank,employment_outcomes_score,employment_outcomes_rank,sustainability_score,sustainability_rank,overall_score
718,711-720,801-850,Soochow University,China (Mainland),Asia,XL,CO,VH,Public,11.4,701+,13,701+,19.9,801+,66.8,231,3.7,801+,2.2,801+,49.6,801+,19.9,774,37.8,801+,
719,711-720,701-710,Universidad Panamericana (UP),Mexico,Americas,L,FC,MD,Private not for Profit,18.4,648,28.6,492,83,150,1.5,801+,21.7,711,5.9,801+,19.4,801+,73.5,197,39.3,801+,
720,711-720,688,Université Côte d'Azur,France,Europe,XL,FC,VH,Public,23.1,537,8.5,701+,10.9,801+,17.3,781,49.6,472,56.3,381,81.7,346,12.2,801+,71,374=,
721,711-720,,University of Nicosia,Cyprus,Asia,M,CO,VH,Private for Profit,5.6,701+,4.4,701+,23.9,756,30.1,588,77.5,313,100,29,50.4,801+,55.6,322,28.1,801+,
722,711-720,751-760,University of Oregon,United States of America,Americas,L,CO,VH,Public,24.7,501,21.1,649,10.7,801+,29.4,597,26.8,639,5.5,801+,53.8,801+,34,516,57.5,683=,
723,711-720,628,University of South Carolina,United States of America,Americas,XL,FC,VH,Public,17.1,694,16.1,701+,10.1,801+,31.4,565,62.5,386,4.5,801+,68.2,606,25.7,651,69.5,404=,
724,721-730,676,Jadavpur University,India,Asia,M,FO,VH,Public,21.8,563,12,701+,14,801+,50.1,371,1,801+,1.1,801+,42,801+,20.9,752,63.2,547=,
725,721-730,701-710,Kasetsart University,Thailand,Asia,XL,CO,VH,Public,40.2,301,31.5,443,10.5,801+,3.9,801+,5.8,801+,1.7,801+,50.2,801+,26.3,637,67,461=,
726,721-730,791-800,Lanzhou University,China (Mainland),Asia,XL,CO,VH,Public,9.6,701+,10.7,701+,46.8,416,51.3,356,2.6,801+,2.1,801+,70.4,563,10.5,801+,48.3,801+,
727,721-730,771-780,Maynooth University,Ireland,Europe,L,CO,HI,Public,19.1,621,15,701+,10.9,801+,19.6,739,91.8,220,36.8,537,48.3,801+,17.2,801+,70.5,391=,
728,721-730,660,Memorial University of Newfoundland,Canada,Americas,L,FC,VH,Public,12.6,701+,5.8,701+,16.1,801+,40.7,467,27.7,625,65,330,70.3,565,19.3,788,52.9,801+,
729,721-730,680,Nanjing University of Aeronautics and Astronautics,China (Mainland),Asia,XL,FO,VH,Public,8.4,701+,18.2,701+,21,801+,70.6,207,6.4,801+,3.6,801+,43.5,801+,2.4,801+,39.5,801+,
730,721-730,731-740,"National Institute of Technology, Tiruchirappalli",India,Asia,M,FO,VH,Public,4.2,701+,7.2,701+,8,801+,90,105,1,801+,3.4,801+,41.3,801+,13.7,801+,41.1,801+,
731,721-730,741-750,Plekhanov Russian University of Economics,Russian Federation,Europe,L,FO,VH,Public,12.4,701+,41.6,322,61.5,292,2.6,801+,4.7,801+,27.5,631,51.2,801+,56.3,315,50.2,801+,
732,721-730,696,TUHH Hamburg University of Technology,Germany,Europe,M,FO,VH,Public,9.7,701+,16.8,701+,73.6,198,11.8,801+,55.5,427,90.7,173,49.2,801+,3.5,801+,20.8,801+,
733,721-730,697,"University of Missouri, Columbia",United States of America,Americas,L,FC,VH,Public,17.8,666,15,701+,41.9,471,16.1,801+,49.4,475,5.6,801+,71,552,45.1,408,51.2,801+,
734,721-730,701-710,University of Zagreb,Croatia,Europe,XL,FC,VH,Public,25.8,475,7.7,701+,27.1,687,7.6,801+,1.6,801+,5.1,801+,91.8,151,96.1,59,64.8,509=,
735,731-740,741-750,"Adam Mickiewicz University, Poznań",Poland,Europe,L,CO,VH,Public,24.8,497,15.7,701+,48.8,397,8.3,801+,9.8,801+,13.9,801+,87.6,220,14.6,801+,67.4,450=,
736,731-740,697,Ankara Üniversitesi,Türkiye,Asia,XL,FC,HI,Public,27.5,451,38.3,357,14.2,801+,4.5,801+,2.5,801+,6.6,801+,67.8,616,56.6,311,59,647=,
737,731-740,,Beijing Forestry University,China (Mainland),Asia,L,CO,VH,Public,5.1,701+,7.4,701+,7.8,801+,92.1,91,,,2.9,801+,37.1,801+,3.7,801+,38.2,801+,
738,731-740,791-800,Beijing University of Technology,China (Mainland),Asia,L,CO,VH,Public,11.2,701+,13.2,701+,36.7,540,60.4,274,5,801+,2,801+,40.1,801+,7.4,801+,40.1,801+,
739,731-740,761-770,Czech University of Life Sciences in Prague,Czechia,Europe,L,FO,VH,Public,10.8,701+,10.8,701+,11.7,801+,26,653,35.9,554,87.1,196,89.8,190,6,801+,72.4,344=,
740,731-740,801-850,Northwest Agriculture and Forestry University,China (Mainland),Asia,XL,CO,VH,Public,6.3,701+,5.6,701+,27.7,678,73.8,188,,,1.8,801+,58.8,762,5.3,801+,45.5,801+,
741,731-740,741-750,Syracuse University,United States of America,Americas,L,CO,VH,Private not for Profit,18.1,660,25.4,549,15.2,801+,15.2,801+,37.1,546,31,594,51.7,801+,58.4,296,61.5,580=,
742,731-740,697,Universidad de Alcalá (Madrid),Spain,Europe,L,FC,VH,Public,14.6,701+,10.5,701+,65.6,260,10.6,801+,15.2,801+,48.9,428,80.5,373,12.7,801+,70.9,381=,
743,731-740,711-720,Université de Rennes,France,Europe,L,FO,VH,Public,19.6,614,11.2,701+,11.7,801+,40.7,465,13.8,801+,17.4,786,90,183,9.2,801+,48.1,801+,
744,731-740,701-710,University of Central Florida,United States of America,Americas,XL,FC,VH,Public,19.5,618,38.3,355,3.8,801+,27.7,620,16.2,801+,6.8,801+,74.1,498,15.6,801+,53.9,781=,
745,741-750,731-740,Far Eastern Federal University,Russian Federation,Europe,L,CO,HI,Public,10.8,701+,16.6,701+,99.1,40,2.4,801+,15.8,801+,80.6,227,43.9,801+,8.2,801+,41.4,801+,
746,741-750,688,National Research Tomsk Polytechnic University,Russian Federation,Europe,M,FO,VH,Public,7.3,701+,20.5,659,96.4,65,6.2,801+,13.8,801+,85.6,204,39.1,801+,3.6,801+,48.1,801+,
747,741-750,761-770,New Jersey Institute of Technology (NJIT),United States of America,Americas,M,CO,VH,Public,6.6,701+,25.4,546,11.2,801+,40.7,466,39.9,525,51.9,409,45.9,801+,11.9,801+,61.3,587=,
748,741-750,622,Umm Al-Qura University,Saudi Arabia,Asia,XL,CO,VH,Public,19.3,619,9.4,701+,47.6,409,8,801+,89.7,237,11.5,801+,71.7,542,10.6,801+,57.6,681=,
749,741-750,691,Universidade Federal do Rio Grande Do Sul,Brazil,Americas,XL,FC,VH,Public,37,324,7.9,701+,17.7,801+,14.1,801+,3.2,801+,2.3,801+,81.2,361,26.9,623,63.3,542=,
750,741-750,801-850,University of Bari,Italy,Europe,L,FC,VH,Public,19.5,617,7,701+,7.4,801+,48.5,381,7.8,801+,4.4,801+,82.1,333,11.4,801+,59.9,620=,
751,741-750,721-730,University of Cincinnati,United States of America,Americas,XL,FC,VH,Public,16.7,701+,15.6,701+,23.3,765,30.3,586,6.5,801+,15.8,801+,69.8,578,41,452,64.9,506=,
752,751-760,741-750,Brandeis University,United States of America,Americas,S,FO,VH,Private not for Profit,12.6,701+,9,701+,39.5,504,27.9,617,26.1,648,77.4,244,24.8,801+,50,365,36.8,801+,
753,751-760,711-720,Budapest University of Technology and Economics,Hungary,Europe,L,FO,VH,Public,20.1,603,41.2,326,17.5,801+,12.8,801+,4.9,801+,19.6,742,59.8,747,35.4,505,61.2,592=,
754,751-760,654,De La Salle University,Philippines,Asia,L,CO,HI,Private not for Profit,28.1,443,50.3,247,7.4,801+,5.8,801+,2.3,801+,3.8,801+,26.4,801+,56.9,307,63.8,533=,
755,751-760,801-850,Instituto Tecnológico Autónomo de México (ITAM),Mexico,Americas,S,SP,LO,Private not for Profit,21.8,562,37.2,371,24.5,743,2.8,801+,59.7,403,2.1,801+,8.4,801+,98.9,30,36.7,801+,
756,751-760,628,Missouri University of Science and Technology,United States of America,Americas,M,CO,VH,Public,3.2,701+,11.5,701+,7.4,801+,79.3,162,17.8,771,19.8,739,36.6,801+,12.9,801+,36.7,801+,
757,751-760,851-900,O.P. Jindal Global University (JGU),India,Asia,M,FO,VH,Private not for Profit,14.9,701+,40.8,335,69.2,227,3.2,801+,42.8,504,6.1,801+,33.7,801+,5.2,801+,56.6,708=,
758,751-760,761-770,Riga Technical University,Latvia,Europe,M,FO,VH,Public,12.5,701+,33.5,412,25.4,721,6.3,801+,24.2,678,79,235,49.4,801+,48.9,373,53.9,781=,
759,751-760,731-740,"Sofia University ""St. Kliment Ohridski""",Bulgaria,Europe,L,CO,VH,Public,13.3,701+,26.7,522,57.2,331,2.8,801+,3.5,801+,16.2,801+,59.9,746,88.2,112,53.4,793=,
760,751-760,721-730,Temple University,United States of America,Americas,L,FC,VH,Public,17.7,671,16.4,701+,34.1,571,21.4,719,15.7,801+,11.3,801+,61.9,715,35.5,501,75.8,281=,
761,751-760,761-770,"Vietnam National University, Hanoi",Viet Nam,Asia,XL,CO,VH,Public,27.3,455,37.7,365,7,801+,4.1,801+,3.4,801+,1.3,801+,67,633,59.2,287,71.3,371=,
762,751-760,741-750,Vytautas Magnus University,Lithuania,Europe,M,FO,VH,Public,11.3,701+,20,669,39.4,506,5.5,801+,52.7,445,70.3,291,63.4,693,36.8,485,59.8,622=,
763,761-770,801-850,AGH University of Krakow,Poland,Europe,L,FO,VH,Public,16,701+,34.5,399,56.1,338,11.8,801+,4.5,801+,4.7,801+,79.2,399,4.8,801+,51.9,801+,
764,761-770,791-800,Applied Science Private University - Jordan,Jordan,Asia,M,CO,VH,Private for Profit,13.3,701+,21.9,631,30.5,630,10.3,801+,45.6,492,92.3,159,52.2,801+,9.8,801+,57,695=,
765,761-770,771-780,Holy Spirit University of Kaslik,Lebanon,Asia,M,CO,HI,Private not for Profit,10,701+,27.2,510,68,240,3.8,801+,98.8,136,47.1,439,11.2,801+,12,801+,41.4,801+,
766,761-770,791-800,Norwegian University of Life Sciences,Norway,Europe,M,FO,VH,Public,7.3,701+,5.6,701+,100,22,18.2,766,,,,,77.4,433,37.7,478,55.1,749=,
767,761-770,731-740,Texas Tech University,United States of America,Americas,XL,FC,HI,Public,13.6,701+,23.4,591,9.9,801+,17.6,777,74.5,328,14.5,801+,73.6,508,24.6,680,73.6,324,
768,761-770,741-750,University of Messina (UniME),Italy,Europe,M,FC,VH,Public,12.6,701+,3.6,701+,20.1,801+,54.1,330,1.2,801+,17.7,778,73,521,3.2,801+,64.4,520=,
769,761-770,654,University of South Florida,United States of America,Americas,XL,CO,VH,Public,17.5,683,21.7,637,12.4,801+,25.4,666,8.5,801+,35,556,83,312,11.7,801+,68.1,433=,
770,761-770,751-760,University of Trieste,Italy,Europe,L,FC,VH,Public,16.5,701+,9.8,701+,4.8,801+,53.7,335,10,801+,15.2,801+,67.1,629,17.9,801+,40.1,801+,
771,761-770,721-730,UWE Bristol (University of the West of England),United Kingdom,Europe,L,CO,VH,Public,10.3,701+,15.1,701+,7.1,801+,18,767,70.8,346,77.1,246,75.1,484,4.6,801+,79.6,232,
772,771-780,851-900,Beijing Jiaotong University,China (Mainland),Asia,L,FO,VH,Public,14.8,701+,24,574,35.8,549,36.9,504,4.2,801+,15.5,801+,43.2,801+,13.7,801+,39.1,801+,
773,771-780,711-720,Drexel University,United States of America,Americas,L,FC,VH,Private not for Profit,8.9,701+,10.6,701+,26.5,706,30.6,581,40.5,517,36.8,540,75,486,33.7,521,47.3,801+,
774,771-780,851-900,Jiangnan University,China (Mainland),Asia,L,FC,VH,Public,7.4,701+,8.8,701+,13.5,801+,80.5,155,,,,,45,801+,2.4,801+,31.6,801+,
775,771-780,851-900,Multimedia University (MMU),Malaysia,Asia,M,FO,VH,Private for Profit,19.9,607,22.4,619,19.4,801+,8.9,801+,68.7,357,72.1,277,32.4,801+,11.6,801+,53.1,801+,
776,771-780,801-850,Universidad San Francisco de Quito USFQ,Ecuador,Americas,M,FC,HI,Private not for Profit,28.2,441,21.2,645,40.2,496,4.7,801+,49.3,476,2.7,801+,31,801+,15.2,801+,65.2,501=,
777,771-780,711-720,University of Hohenheim,Germany,Europe,M,SP,HI,Public,8.4,701+,10.2,701+,20.9,801+,35,530,49.6,473,43.3,474,71.6,543,9.7,801+,56,723=,
778,771-780,751-760,University of New Mexico,United States of America,Americas,L,FC,VH,Public,14.2,701+,13.1,701+,60.9,297,20.8,727,17,786,6.2,801+,81.4,355,11.5,801+,52.2,801+,
779,771-780,664,University of Oklahoma,United States of America,Americas,L,FC,VH,Public,13.2,701+,14.8,701+,16.9,801+,35.8,523,31.1,593,9,801+,68.2,605,31.7,556,57.3,688=,
780,771-780,721-730,University of Patras,Greece,Europe,L,FC,VH,Public,17.4,685,23.6,584,3.4,801+,43.8,433,1.9,801+,7.6,801+,65.6,664,5,801+,61.3,587=,
781,781-790,731-740,Auezov South Kazakhstan University (SKU),Kazakhstan,Asia,L,CO,MD,Public,17.6,679,25.9,539,93.1,92,1.2,801+,35.1,560,34.1,565,5.9,801+,5,801+,37.8,801+,
782,781-790,901-950,Chonnam National University,Republic of Korea,Asia,L,FC,VH,Public,14.9,701+,10.9,701+,52.7,362,26.7,638,22.1,702,26.8,638,33,801+,7.6,801+,67.3,457=,
783,781-790,801-850,German Jordanian University,Jordan,Asia,S,FO,VH,Public,11.7,701+,24.8,560,38.8,515,14,801+,91.2,226,22.7,695,21.8,801+,30.3,579,47.3,801+,
784,781-790,781-790,Hong Kong Metropolitan University,"Hong Kong SAR, China",Asia,L,CO,HI,Public,20.8,581,9.1,701+,3.6,801+,10.9,801+,88.6,245,93.9,149,22,801+,30.4,577,49.6,801+,
785,781-790,697,Kazakh National Agrarian Research University (KazNARU),Kazakhstan,Asia,M,FO,HI,Public,18.5,644,21.2,646,88.1,114,1.4,801+,33.7,573,43,481,10.4,801+,6.5,801+,39.7,801+,
786,781-790,801-850,Qassim University,Saudi Arabia,Asia,L,FC,VH,Public,12.6,701+,7,701+,50.5,379,4.9,801+,100,73,27.9,627,77.8,416,3.7,801+,60.5,611=,
787,781-790,741-750,Shahid Beheshti University (SBU),Iran (Islamic Republic of),Asia,L,CO,VH,Public,12.1,701+,14.7,701+,5.9,801+,39.7,477,4.9,801+,47.5,434,67.1,630,25.4,663,57,695=,
788,781-790,711-720,Technische Universität Braunschweig,Germany,Europe,L,CO,VH,Public,14.1,701+,17.7,701+,67.8,241,7.8,801+,,,48.7,429,67.3,626,20.3,769,49.8,801+,
789,781-790,771-780,Universidad de Palermo (UP),Argentina,Americas,S,FO,HI,Private not for Profit,15.3,701+,13.7,701+,96,79,1.2,801+,37.4,541,89.5,184,3.9,801+,20.2,770,7.1,801+,
790,781-790,851-900,University of Dubai,United Arab Emirates,Asia,S,SP,LO,Private not for Profit,5.6,701+,9.2,701+,11.6,801+,30.4,582,100,7,90,181,13.7,801+,53.8,336,24.6,801+,
791,781-790,801-850,University of Latvia,Latvia,Europe,M,FC,VH,Public,13.3,701+,27,514,10.3,801+,10.6,801+,15.1,801+,16.2,801+,73.6,512,94.9,72,63.2,547=,
792,781-790,851-900,Verona University,Italy,Europe,L,CO,VH,Public,15.1,701+,6,701+,4.5,801+,56.6,305,5.8,801+,7.9,801+,66.1,654,7.1,801+,57.7,677=,
793,791-800,851-900,Imam Mohammad Ibn Saud Islamic University – IMSIU,Saudi Arabia,Asia,XL,FC,HI,Public,15.9,701+,13.6,701+,29.7,647,2.8,801+,99.7,113,36.8,538,54.6,801+,32.9,535,52.8,801+,
794,791-800,901-950,Lovely Professional University (LPU),India,Asia,XL,CO,VH,Private not for Profit,19.1,627,34.8,394,17.5,801+,13.4,801+,18,768,6.5,801+,86.5,239,4,801+,63.5,539=,
795,791-800,,Near East University,Northern Cyprus,Asia,L,CO,VH,Private not for Profit,5.1,701+,3.3,701+,6.4,801+,27.9,619,100,47,100,8,64,686,10.6,801+,43.1,801+,
796,791-800,566,Savitribai Phule Pune University,India,Asia,M,CO,VH,Public,9.6,701+,12.7,701+,37.4,533,46.2,408,1,801+,2.4,801+,37.8,801+,47.1,391,40.2,801+,
797,791-800,701-710,Shiraz University,Iran (Islamic Republic of),Asia,L,CO,VH,Public,9.1,701+,7.9,701+,5.8,801+,62.8,260,1.2,801+,4,801+,66.8,637,23.2,713,45.4,801+,
798,791-800,721-730,Taras Shevchenko National University of Kyiv,Ukraine,Europe,L,CO,VH,Public,18.2,656,43.3,309,32.2,599,3.3,801+,1.5,801+,2.1,801+,53.1,801+,67.5,229,41.4,801+,
799,791-800,781-790,Technological University Dublin,Ireland,Europe,L,CO,HI,Public,17.8,667,23.8,580,15.9,801+,6.2,801+,52.3,451,55.5,386,52.1,801+,20.8,756,65.3,497=,
800,791-800,781-790,Universidade Católica Portuguesa,Portugal,Europe,L,CO,HI,Private not for Profit,14.8,701+,23.9,575,11.3,801+,13.9,801+,16.9,789,67.5,307,34.3,801+,61.3,264,62.7,560=,
801,791-800,801-850,University of Engineering & Technology (UET) Lahore,Pakistan,Asia,L,SP,HI,Public,9.6,701+,48.1,267,15.6,801+,17.7,773,1,801+,2.4,801+,62.5,708,55.5,323,61,596=,
802,791-800,801-850,University of Greenwich,United Kingdom,Europe,L,CO,HI,Public,7.2,701+,6.2,701+,5.1,801+,16.4,801+,95.1,192,99.8,60,81.8,340,17.9,801+,50.1,801+,
803,791-800,741-750,University of Pecs,Hungary,Europe,L,FC,HI,Public,17.6,677,16.4,701+,45.6,432,4.7,801+,12,801+,77.3,245,55.6,801+,12.3,801+,60.7,605=,
804,791-800,851-900,VILNIUS TECH (Vilnius Gediminas Technical University),Lithuania,Europe,M,FO,VH,Public,15.9,701+,25.6,544,31.1,612,13.7,801+,14.3,801+,62,345,46.9,801+,11.6,801+,56.7,703=,
805,791-800,901-950,Yeungnam University,Republic of Korea,Asia,L,FC,VH,Private for Profit,5.7,701+,4.6,701+,15.6,801+,55.4,316,40.2,521,24.8,669,55.9,800,5.6,801+,53.4,793=,
806,801-850,741-750,Aberystwyth University,United Kingdom,Europe,M,CO,VH,Public,14,701+,10.9,701+,21.4,801+,22,710,50.4,464,28.3,621,61.7,720,14.7,801+,71.7,360=,
807,801-850,781-790,Alexandria University,Egypt,Africa,XL,FC,VH,Public,28.3,440,29.9,470,6.6,801+,3.6,801+,1.7,801+,13.5,801+,81.8,341,25.4,662,54.7,758=,
808,801-850,801-850,Alfaisal University,Saudi Arabia,Asia,S,FO,VH,Private not for Profit,6.7,701+,7.4,701+,25.2,726,24.5,676,100,32,94.6,142,27.5,801+,10.6,801+,36,801+,
809,801-850,901-950,American University of Central Asia,Kyrgyzstan,Asia,S,FO,MD,Private not for Profit,15.1,701+,14.6,701+,60.9,298,2.1,801+,53.6,442,92.9,155,3.9,801+,43.4,428,10.1,801+,
810,801-850,851-900,Azerbaijan Technical University,Azerbaijan,Asia,M,FO,VH,,15.6,701+,31.4,444,87.8,117,1.3,801+,24.2,677,24.3,673,3.5,801+,14.9,801+,32.5,801+,
811,801-850,801-850,Bournemouth University,United Kingdom,Europe,L,CO,VH,Public,7.7,701+,10.4,701+,7.7,801+,29.7,591,86,268,33.3,573,82.3,329,8.5,801+,50.8,801+,
812,801-850,781-790,Carleton University,Canada,Americas,L,CO,VH,Public,15.5,701+,17.8,701+,8.5,801+,13.4,801+,15.4,801+,54.9,390,78.5,408,38.2,474,60.8,601=,
813,801-850,851-900,Chungnam National University,Republic of Korea,Asia,L,FC,VH,Public,13.8,701+,12.2,701+,59.1,317,21.9,712,6.8,801+,30,602,41.5,801+,7.5,801+,67.9,436=,
814,801-850,851-900,Edinburgh Napier University,United Kingdom,Europe,L,CO,HI,Public,9.1,701+,7.2,701+,6,801+,22.9,700,91.7,222,78.6,237,59.4,754,9.3,801+,46.8,801+,
815,801-850,,Egypt Japan University of Science & Technology,Egypt,Africa,S,FO,VH,Public,6.7,701+,6.1,701+,2.4,801+,83,141,4.9,801+,2.7,801+,18.9,801+,6,801+,39.3,801+,
816,801-850,901-950,"El Colegio de México, A.C.",Mexico,Americas,S,SP,MD,Public,17.9,661,6.2,701+,100,12,3.9,801+,22.1,704,29.8,603,8.9,801+,48.1,382,16.2,801+,
817,801-850,801-850,Gdańsk University of Technology,Poland,Europe,L,FO,VH,Public,12.9,701+,21.7,635,33.7,577,26,651,5.3,801+,5.4,801+,76.5,454,5.2,801+,66.4,474=,
818,801-850,781-790,Georgia State University,United States of America,Americas,L,FO,VH,Public,16.8,701+,23.8,581,5.2,801+,29.9,590,5.6,801+,17.2,789,63.8,687,25.5,658,49.1,801+,
819,801-850,711-720,ITMO University,Russian Federation,Europe,L,CO,VH,Public,10,701+,26.7,523,85.6,129,7.8,801+,17.5,780,47.2,436,61.2,729,4.9,801+,,,
820,801-850,801-850,Keele University,United Kingdom,Europe,M,FC,VH,Public,7.6,701+,7.9,701+,16.5,801+,25.1,669,60.1,398,42.9,482,78.2,410,11.3,801+,66.3,477=,
821,801-850,951-1000,Khazar University,Azerbaijan,Asia,M,CO,MD,Private not for Profit,6.6,701+,23,603,65.5,262,2.5,801+,93.5,208,55,388,15.7,801+,18.2,801+,33.2,801+,
822,801-850,751-760,Martin-Luther-Universität Halle-Wittenberg,Germany,Europe,L,FC,VH,Public,12.2,701+,7.4,701+,81.6,165,12.9,801+,,,15.5,801+,86.6,233,6.7,801+,49.6,801+,
823,801-850,721-730,National University of Uzbekistan named after Mirzo Ulugbek,Uzbekistan,Asia,L,CO,HI,Public,25.2,486,28.8,488,6.5,801+,2.2,801+,92.2,216,13,801+,21.9,801+,27.9,605,48.1,801+,
824,801-850,801-850,Ocean University of China,China (Mainland),Asia,XL,FC,VH,Public,7.5,701+,10.8,701+,9.9,801+,65.9,238,4.8,801+,1.9,801+,50.2,801+,4.5,801+,44.7,801+,
825,801-850,731-740,Princess Nourah bint Abdulrahman University,Saudi Arabia,Asia,L,CO,VH,Public,14.5,701+,15.6,701+,25.8,716,11.9,801+,69.8,352,19.1,749,79.6,392,3.8,801+,58.4,660=,
826,801-850,771-780,Rutgers University–Newark,United States of America,Americas,M,CO,VH,Public,13.4,701+,13.5,701+,22.9,778,22.3,709,25.1,664,38,524,36.8,801+,52.8,344,63.3,542=,
827,801-850,901-950,"Saveetha Institute of Medical And Technical Sciences (SIMATS) , Tamil Nadu,India",India,Asia,L,CO,VH,Private not for Profit,7.8,701+,4.6,701+,25.8,717,33.3,548,55.8,426,12,801+,93.8,115,2.9,801+,56,723=,
828,801-850,721-730,The National University of Science and Technology MISIS,Russian Federation,Europe,M,FO,VH,Public,7,701+,19.1,695,68.5,235,17.6,776,10.4,801+,51.5,411,39,801+,31.4,562,40.3,801+,
829,801-850,684,Ton Duc Thang University,Viet Nam,Asia,L,CO,VH,Public,6.5,701+,9.2,701+,8.8,801+,57.4,299,8.8,801+,1.9,801+,82.4,321,6.9,801+,63.2,547=,
830,801-850,901-950,Universidad Católica del Uruguay (UCU),Uruguay,Americas,S,CO,HI,Private not for Profit,21,577,22.9,605,81.9,162,1.5,801+,11.2,801+,5.1,801+,9.7,801+,53.5,338,35.5,801+,
831,801-850,731-740,Universidad Central de Venezuela,Venezuela (Bolivarian Republic of),Americas,XL,FC,MD,Public,27,460,33.9,407,46.6,420,1.3,801+,2.8,801+,1.8,801+,11.2,801+,51.6,352,33.1,801+,
832,801-850,851-900,Universidad Nacional de Córdoba - UNC,Argentina,Americas,XL,FC,HI,Public,41.9,291,29,487,7,801+,2,801+,1.5,801+,2,801+,46.2,801+,17.8,801+,42.2,801+,
833,801-850,851-900,Universidade de Vigo,Spain,Europe,L,CO,VH,Public,14.3,701+,9.7,701+,16.3,801+,35.7,524,4.7,801+,12.7,801+,80.7,368,7.1,801+,71.8,357=,
834,801-850,801-850,Universidade Federal de São Paulo,Brazil,Americas,L,FC,VH,Public,14.9,701+,6.3,701+,98.8,47,9,801+,5,801+,2.2,801+,52.9,801+,4.4,801+,63.6,537=,
835,801-850,801-850,Universität Duisburg-Essen,Germany,Europe,XL,FC,VH,Public,16,701+,7.4,701+,23,774,16.8,794,39.4,528,50.6,418,89.4,196,14.3,801+,50.8,801+,
836,801-850,751-760,Université de Lorraine,France,Europe,XL,FC,VH,Public,20.2,595,4.8,701+,7.5,801+,19.9,735,37.3,543,37.8,527,95.6,77,18.9,795,56.7,703=,
837,801-850,791-800,Universiti Tunku Abdul Rahman (UTAR),Malaysia,Asia,M,FC,HI,Private not for Profit,17.2,689,35.7,380,21.7,801+,15.5,801+,17.6,776,16.1,801+,46.1,801+,6.8,801+,61.2,592=,
838,801-850,741-750,University of Baghdad,Iraq,Asia,XL,FC,VH,Public,15.8,701+,32.8,422,33.3,583,2.6,801+,2.7,801+,1.9,801+,73.7,506,77.6,180,40.2,801+,
839,801-850,761-770,University of Belgrade,Serbia,Europe,XL,FC,VH,Public,22.7,548,10,701+,4.9,801+,11,801+,3.2,801+,6.6,801+,95.6,76,95.6,62,51.4,801+,
840,801-850,761-770,University of Bucharest,Romania,Europe,XL,CO,VH,Public,19.8,609,30.2,465,8.4,801+,7.7,801+,2.9,801+,4.4,801+,73.7,505,67,233,64.4,520=,
841,801-850,678,University of Haifa,Israel,Asia,L,CO,VH,Public,17.7,676,9.9,701+,18.4,801+,27.9,618,8.6,801+,4.6,801+,69.5,582,29.2,593,67,461=,
842,801-850,801-850,"University of Maryland, Baltimore",United States of America,Americas,M,FC,VH,Public,8.5,701+,5.2,701+,100,1,21.8,716,9.9,801+,10.6,801+,50.4,801+,4.8,801+,39.7,801+,
843,801-850,801-850,"University of Maryland, Baltimore County",United States of America,Americas,L,FC,HI,Public,12.4,701+,11,701+,19.6,801+,17.4,779,80.2,299,36.8,539,52.4,801+,12.5,801+,71,374=,
844,801-850,801-850,University of Modena and Reggio Emilia,Italy,Europe,L,FC,VH,Public,12.5,701+,9.2,701+,4.3,801+,51.5,353,4.1,801+,6.8,801+,55.3,801+,18.4,801+,61.4,584=,
845,801-850,781-790,University of Mons,Belgium,Europe,M,CO,VH,Public,8.3,701+,9.7,701+,4.1,801+,46.3,407,48.9,478,46.2,446,45.7,801+,9.3,801+,56.2,721=,
846,801-850,801-850,University of Namur,Belgium,Europe,M,CO,VH,,7.8,701+,10.9,701+,5.2,801+,38.9,484,35.5,557,60.8,356,47.7,801+,15.8,801+,59.6,631=,
847,801-850,711-720,University of Nebraska - Lincoln,United States of America,Americas,L,CO,VH,Public,11.5,701+,11.1,701+,19.8,801+,32.1,562,23.3,685,10.9,801+,79.8,389,16.7,801+,63.3,542=,
848,801-850,801-850,University of Palermo,Italy,Europe,L,CO,VH,Public,20.8,580,7.5,701+,6.9,801+,41.5,457,3.2,801+,4.2,801+,86.4,241,6.6,801+,43.3,801+,
849,801-850,801-850,Viet Nam National University Ho Chi Minh City (VNU-HCM),Viet Nam,Asia,XL,CO,VH,Public,32.2,381,38.8,348,5.4,801+,4.2,801+,4.5,801+,1.4,801+,50.8,801+,27.3,613,47.2,801+,
850,801-850,791-800,Wake Forest University,United States of America,Americas,M,FC,VH,Private not for Profit,8.6,701+,11.9,701+,100,4,9.8,801+,5.3,801+,13.9,801+,41.6,801+,35.7,498,46.3,801+,
851,801-850,781-790,Wayne State University,United States of America,Americas,L,FC,VH,Public,10.7,701+,8.2,701+,64.2,273,15.1,801+,18.2,764,9.3,801+,69.4,589,33.6,522,69.9,399=,
852,851-900,851-900,Auburn University,United States of America,Americas,XL,CO,VH,Public,14,701+,11,701+,8.8,801+,22.4,707,68.8,356,8.2,801+,69.8,575,27.1,619,59.8,622=,
