index,rank_2027,rank_2026,institution_name,country_territory,region,size,focus,research_intensity,status,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,international_research_network_score,international_research_network_rank,employment_outcomes_score,employment_outcomes_rank,sustainability_score,sustainability_rank,overall_score
502,502,485,Aristotle University of Thessaloniki,Greece,Europe,XL,FC,VH,Public,39.3,307,32.3,429,5.9,801+,27.6,623,1.8,801+,7.8,801+,90.3,180,43.1,429,69.1,408=,32.3
503,502,530,University of Genoa,Italy,Europe,L,FC,VH,Public,31,399,18,701+,20.8,801+,47.6,391,7.6,801+,16,801+,81.5,352,16.8,801+,74,318=,32.3
504,504,482,Duy Tan University,Viet Nam,Asia,L,CO,VH,Private for Profit,10.7,701+,17.4,701+,4.7,801+,87.9,118,27.2,634,1.9,801+,86.6,236,6.8,801+,65.8,485=,32.2
505,504,496,Iran University of Science and Technology,Iran (Islamic Republic of),Asia,M,FO,VH,Public,11,701+,22.7,613,4.1,801+,100,11,1,801+,14.1,801+,64.2,681,11.1,801+,33.4,801+,32.2
506,504,482,Kobe University,Japan,Asia,L,FC,VH,Public,35.1,344,42.9,312,37.3,534,18.8,756,8.6,801+,10.2,801+,56.1,798,26.9,622,75.5,287=,32.2
507,504,477,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russian Federation,Europe,M,FO,VH,Public,16.5,701+,46.6,280,96.2,74,13.8,801+,36.6,552,45.4,455,45.6,801+,51.7,351,,,32.2
508,504,519,Ural Federal University - UrFU,Russian Federation,Europe,XL,CO,VH,Public,22.3,554,37.3,369,98.8,45,3.4,801+,7.7,801+,46,448,91.6,157,5.7,801+,57.6,681=,32.2
509,504,487,Warsaw University of Technology,Poland,Europe,L,FO,VH,Public,29.9,416,60.8,182,59.5,312,8.7,801+,3.9,801+,15.2,801+,57,782,18,801+,55.9,728=,32.2
510,510,566,Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi),India,Asia,M,FO,VH,Public,11.7,701+,28.7,489,5,801+,97.3,59,2.1,801+,1.2,801+,30.9,801+,15.2,801+,58.4,660=,32.1
511,510,499,Tomsk State University,Russian Federation,Europe,M,CO,VH,Public,21,575,29.7,473,99.2,38,5.3,801+,25.3,661,94.9,139,62,714,9.5,801+,38.2,801+,32.1
512,510,423,Washington State University,United States of America,Americas,L,FC,VH,Public,25.2,485,32.5,427,23,775,37.2,501,45,494,7.5,801+,73.6,510,14.4,801+,80.2,225=,32.1
513,513,450,UNESP,Brazil,Americas,XL,FC,VH,Public,51,222,26.4,532,21.4,801+,20.6,729,6.5,801+,7.8,801+,77.5,427,4.2,801+,56,723=,32
514,514,535,King Khalid University,Saudi Arabia,Asia,L,FC,VH,Public,21.8,561,18.6,701+,69.6,223,9.9,801+,100,40,34.2,563,92.1,144,3.6,801+,61.4,584=,31.7
515,515,509,China Medical University,Taiwan,Asia,M,FO,VH,Private not for Profit,8.3,701+,6.5,701+,22.9,779,100,8,5.3,801+,12.8,801+,77.5,426,3.9,801+,38.6,801+,31.6
516,515,,Conservatoire National des Arts et Métiers (CNAM),France,Europe,S,FO,VH,,5.3,701+,5.5,701+,68.7,232,93.4,84,,,,,44.9,801+,21.7,737,29,801+,31.6
517,515,465,University of Kansas,United States of America,Americas,L,FC,VH,Public,17.2,691,18.5,701+,92,95,10.4,801+,77.6,310,10.5,801+,82.6,318,39.9,459,59.3,641,31.6
518,518,591,Bond University,Australia,Oceania,S,FO,VH,Private not for Profit,5.5,701+,9.5,701+,54.5,347,66,236,49.9,470,89.9,183,24.5,801+,22.8,720,31.3,801+,31.5
519,518,551,Universiti Tenaga Nasional (UNITEN),Malaysia,Asia,S,SP,HI,Private for Profit,8.1,701+,15,701+,80.2,168,42.4,448,28.4,614,80.8,226,56.1,799,11.1,801+,52.7,801+,31.5
520,520,618,Dongguk University,Republic of Korea,Asia,L,FC,HI,Private not for Profit,13,701+,25.4,547,62.5,284,40.9,463,26.5,645,64.4,333,45.1,801+,7.8,801+,63,552=,31.4
521,521,496,Justus-Liebig-University Giessen,Germany,Europe,L,FC,VH,Public,15.5,701+,7,701+,2.5,801+,80.5,156,21.6,712,32.8,578,82,336,16.5,801+,55.1,749=,31.3
522,521,566,Renmin (People's) University of China,China (Mainland),Asia,S,FO,VH,Public,32.5,378,57.4,197,19.4,801+,19.3,743,9.5,801+,8.1,801+,27.2,801+,68.8,220,50.9,801+,31.3
523,521,524,University of Huddersfield,United Kingdom,Europe,M,CO,VH,Public,14.5,701+,19.4,685,7.8,801+,41.7,455,80,301,84.7,207,75.7,467,3.7,801+,75.6,285=,31.3
524,521,498,University of Jyväskylä,Finland,Europe,M,FO,VH,Public,23.6,526,8.1,701+,84.1,144,20.1,732,51.7,457,6.3,801+,84.5,276,15.7,801+,75.4,293,31.3
525,525,452,University of Cyprus (UCY),Cyprus,Asia,M,CO,VH,Public,17.1,693,6.8,701+,14.4,801+,40.2,472,90.5,231,37.2,532,72.7,524,70.6,211,63.2,547=,31.2
526,526,575,Chandigarh University,India,Asia,XL,FC,VH,Private not for Profit,24.9,491,68.8,147,33.1,587,3.9,801+,42,512,24.4,671,81.2,363,2.6,801+,56.3,719=,31.1
527,526,469,Université Laval,Canada,Americas,L,FC,VH,Public,23.4,530,9.8,701+,27.5,684,26.1,649,56.4,424,47.2,438,81.3,360,45.3,405,84.9,154=,31.1
528,528,597,Asia Pacific University of Technology and Innovation (APU) Malaysia,Malaysia,Asia,S,FO,VH,Private for Profit,20.4,594,27.7,499,78.3,177,3.1,801+,97.2,157,100,20,13.2,801+,9.7,801+,47.9,801+,31
529,528,550,Northumbria University at Newcastle,United Kingdom,Europe,L,CO,VH,Public,16.3,701+,15,701+,14.2,801+,35.5,526,74.3,331,63.8,338,89,205,18.2,801+,84.2,162=,31
530,530,517,Pontificia Universidad Católica Argentina,Argentina,Americas,L,FC,MD,Private not for Profit,28.7,435,36.3,375,100,23,1.2,801+,3.6,801+,14.5,801+,10.7,801+,88.2,113,38.3,801+,30.9
531,530,519,Universidad Austral,Argentina,Americas,M,CO,HI,Private not for Profit,28.1,444,38.7,351,93,93,2.1,801+,3.3,801+,16.2,801+,15.3,801+,89.7,105,36.7,801+,30.9
532,530,535,University of Ljubljana,Slovenia,Europe,XL,FC,VH,Public,31.2,394,16,701+,48.7,398,9.8,801+,6.6,801+,17.5,784,90.3,179,96.8,52,57.2,692=,30.9
533,533,447,Belarusian State University,Belarus,Europe,L,CO,HI,Public,27.3,459,48,268,86.9,123,1.6,801+,3.1,801+,66.8,312,23.5,801+,57.9,298,,,30.8
534,533,469,Ben-Gurion University of The Negev,Israel,Asia,L,FC,VH,Public,21.2,570,30.1,467,22.8,781,36.5,508,68.9,354,21.9,712,63.7,690,25.6,653,48.9,801+,30.8
535,533,540,University of Utah,United States of America,Americas,XL,FC,VH,Public,22.7,546,16.4,701+,51.2,372,32.8,556,21.8,706,15.3,801+,77.8,417,26.4,635,78.8,240=,30.8
536,536,525,The University of Georgia,United States of America,Americas,XL,FC,VH,Public,30.7,401,37.6,367,11.9,801+,29.2,599,11.5,801+,8.3,801+,84.6,274,30.2,582,64.4,520=,30.7
537,537,618,Saint Joseph University of Beirut (USJ),Lebanon,Asia,M,FC,HI,Private not for Profit,15.8,701+,38.8,349,66,257,3.6,801+,96.6,165,41,498,40.6,801+,49.4,369,49.1,801+,30.6
538,537,582,University of Iceland,Iceland,Europe,M,CO,VH,Public,10.4,701+,5.3,701+,98.1,51,22.4,705,29.3,608,16.5,801+,77.7,421,96.8,51,51.1,801+,30.6
539,537,546,University of Windsor,Canada,Americas,L,CO,VH,Public,5.6,701+,6.5,701+,2.5,801+,62.1,265,88.7,244,86.2,200,48.2,801+,35.7,497,68.9,415=,30.6
540,540,458,Colorado State University,United States of America,Americas,L,CO,VH,Public,23.9,521,20.8,651,68.5,236,18.7,758,21.7,710,8.1,801+,82.9,313,28.8,597,73.9,321,30.5
541,540,449,Iowa State University,United States of America,Americas,XL,CO,VH,Public,23.8,523,19.2,692,8.3,801+,51.6,350,6.7,801+,15.7,801+,76.9,441,45.7,402,64.4,520=,30.5
542,540,535,Universität  Leipzig,Germany,Europe,L,CO,VH,Public,31.9,385,13.7,701+,87.3,120,12.3,801+,,,22.4,703,84.4,280,15,801+,54.1,776=,30.5
543,540,491,Universiti Utara Malaysia (UUM),Malaysia,Asia,M,CO,VH,Public,26.8,462,29.6,475,51,375,11.4,801+,24.3,674,86.5,197,46.9,801+,18.1,801+,59.8,622=,30.5
544,544,542,University of Milano-Bicocca,Italy,Europe,L,CO,VH,Public,30.4,410,23,604,5.1,801+,50.7,364,8.7,801+,7.3,801+,84,290,13.4,801+,53.3,798=,30.4
