univ_code,slug,name_cn,name_en,province,city,admin_type,category,level,education_level,current_rank,is_vocational,is_double_first_class,is_985,is_211,is_cooperative,is_private,is_independent_college
RC00276,liaoning-police-college,辽宁警察学院,Liaoning Police College,辽宁,大连市,地方公办,政法,地方公办,10,政17,false,false,false,false,false,false,false
RC00649,yangtze-normal-university,长江师范学院,Yangtze Normal University,重庆,重庆市,地方公办,师范,地方公办,10,345,false,false,false,false,false,false,false
RC00765,lanzhou-university-of-finance-and-economics,兰州财经大学,Lanzhou University of Finance and Economics,甘肃,兰州市,地方公办,财经,地方公办,10,财38,false,false,false,false,false,false,false
RC00546,hubei-minzu-university,湖北民族大学,Hubei Minzu University,湖北,恩施土家族苗族自治州,地方公办,民族,地方公办,10,民13,false,false,false,false,false,false,false
RC00590,hunan-first-normal-university,湖南第一师范学院,Hunan First Normal University,湖南,长沙市,地方公办,师范,地方公办,10,346,false,false,false,false,false,false,false
RC00369,jiangsu-university-of-technology,江苏理工学院,Jiangsu University of Technology,江苏,常州市,地方公办,理工,地方公办,10,347,false,false,false,false,false,false,false
RC00346,shanghai-business-school,上海商学院,Shanghai Business School,上海,上海市,地方公办,财经,地方公办,10,财39,false,false,false,false,false,false,false
RC00162,beijing-police-college,北京警察学院,Beijing Police College,北京,北京市,地方公办,政法,地方公办,10,政18,false,false,false,false,false,false,false
RC00458,jiangxi-university-of-water-resources-and-electric-power,江西水利电力大学,Jiangxi University of Water Resources and Electric Power,江西,南昌市,地方公办,理工,地方公办,10,348,false,false,false,false,false,false,false
RC00299,changchun-institute-of-technology,长春工程学院,Changchun Institute of Technology,吉林,长春市,地方公办,理工,地方公办,10,349,false,false,false,false,false,false,false
RC00355,yancheng-teachers-university,盐城师范学院,Yancheng Teachers University,江苏,盐城市,地方公办,师范,地方公办,10,350,false,false,false,false,false,false,false
RC00453,jinggangshan-university,井冈山大学,Jinggangshan University,江西,吉安市,地方公办,综合,地方公办,10,351,false,false,false,false,false,false,false
RC00374,jinling-institute-of-technology,金陵科技学院,Jinling Institute of Technology,江苏,南京市,地方公办,理工,地方公办,10,351,false,false,false,false,false,false,false
RC00613,guangdong-university-of-finance,广东金融学院,Guangdong University of Finance,广东,广州市,地方公办,财经,地方公办,10,财40,false,false,false,false,false,false,false
RC00610,guangdong-police-college,广东警官学院,Guangdong Police College,广东,广州市,地方公办,政法,地方公办,10,政19,false,false,false,false,false,false,false
RC00168,tianjin-agricultural-university,天津农学院,Tianjin Agricultural University,天津,天津市,地方公办,农业,地方公办,10,353,false,false,false,false,false,false,false
RC00611,zhongkai-university-of-agriculture-and-engineering,仲恺农业工程学院,Zhongkai University of Agriculture and Engineering,广东,广州市,地方公办,农业,地方公办,10,353,false,false,false,false,false,false,false
RC00693,tongren-university,铜仁学院,Tongren University,贵州,铜仁市,地方公办,综合,地方公办,10,355,false,false,false,false,false,false,false
RC01246,hangzhou-medical-college,杭州医学院,Hangzhou Medical College,浙江,杭州市,地方公办,医药,地方公办,10,医45,false,false,false,false,false,false,false
RC00495,shandong-jiaotong-university,山东交通学院,Shandong Jiaotong University,山东,济南市,地方公办,理工,地方公办,10,356,false,false,false,false,false,false,false
RC00545,huanggang-normal-university,黄冈师范学院,Huanggang Normal University,湖北,黄冈市,地方公办,师范,地方公办,10,357,false,false,false,false,false,false,false
RC00433,quanzhou-normal-university,泉州师范学院,Quanzhou Normal University,福建,泉州市,地方公办,师范,地方公办,10,357,false,false,false,false,false,false,false
RC00510,henan-institute-of-science-and-technology,河南科技学院,Henan Institute of Science and Technology,河南,新乡市,地方公办,师范,地方公办,10,359,false,false,false,false,false,false,false
RC01062,wenzhou-university-oujiang-college,温州理工学院,Wenzhou University of Technology,浙江,温州市,地方公办,理工,地方公办,10,360,false,false,false,false,false,false,false
RC00753,xian-medical-university,西安医学院,Xi'an Medical University,陕西,西安市,地方公办,医药,地方公办,10,医46,false,false,false,false,false,false,false
RC00420,anhui-science-and-technology-university,安徽科技工程大学,Anhui Science and Technology University,安徽,滁州市,地方公办,师范,地方公办,10,361,false,false,false,false,false,false,false
RC00520,luoyang-normal-university,洛阳师范学院,Luoyang Normal University,河南,洛阳市,地方公办,师范,地方公办,10,361,false,false,false,false,false,false,false
RC00371,xuzhou-institute-of-technology,徐州工程学院,Xuzhou University of Technology,江苏,徐州市,地方公办,理工,地方公办,10,363,false,false,false,false,false,false,false
RC00564,hubei-university-of-education,湖北第二师范学院,Hubei University of Education,湖北,武汉市,地方公办,师范,地方公办,10,364,false,false,false,false,false,false,false
RC00385,lishui-university,丽水学院,Lishui University,浙江,丽水市,地方公办,师范,地方公办,10,365,false,false,false,false,false,false,false
RC00665,civil-aviation-flight-university-of-china,中国民用航空飞行学院,Civil Aviation Flight University of China,四川,德阳市,中央部属,理工,中央部属,10,365,false,false,false,false,false,false,false
RC00187,hebei-north-university,河北北方学院,Hebei North University,河北,张家口市,地方公办,医药,地方公办,10,医47,false,false,false,false,false,false,false
RC00598,huizhou-university,惠州学院,Huizhou University,广东,惠州市,地方公办,综合,地方公办,10,367,false,false,false,false,false,false,false
RC00603,guangzhou-sport-university,广州体育学院,Guangzhou Sport University,广东,广州市,地方公办,体育,地方公办,10,体10,false,false,false,false,false,false,false
RC00302,changchun-university,长春大学,Changchun University,吉林,长春市,地方公办,综合,地方公办,10,368,false,false,false,false,false,false,false
RC00701,guiyang-university,贵阳学院,Guiyang University,贵州,贵阳市,地方公办,综合,地方公办,10,369,false,false,false,false,false,false,false
